PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
201166,Aaron Brooks,2013-14,4.49,3.99,5.06,5.32,0.2014690451206715,0.3402777777777778,0.3576388888888889,0.2708333333333333,0.03125,9,0.9309308407995496
1733,Al Harrington,2013-14,4.19,3.8,1.47,0.58,0.229647630619684,0.2751322751322751,0.5502645502645502,0.0211640211640211,0.1534391534391534,8,0.5072219837960856
201143,Al Horford,2013-14,4.43,3.78,1.75,0.49,0.2322015334063527,0.0683962264150943,0.4481132075471698,0.0283018867924528,0.455188679245283,4,0.9611825572590205
2744,Al Jefferson,2013-14,3.92,3.68,2.34,0.59,0.2721678321678322,0.0226104830421377,0.3669064748201439,0.1068859198355601,0.5035971223021583,4,0.9247765787730813
202329,Al-Farouq Aminu,2013-14,4.75,4.1,2.11,1.03,0.1623015873015873,0.2127139364303178,0.2616136919315403,0.0586797066014669,0.4669926650366748,3,0.9180607640568627
101187,Alan Anderson,2013-14,4.1,3.99,2.81,1.83,0.2266990291262136,0.278372591006424,0.4753747323340471,0.1884368308351177,0.0578158458244111,0,0.6195838233225472
202692,Alec Burks,2013-14,4.5,4.09,3.39,2.78,0.2027253167583074,0.4327830188679245,0.1827830188679245,0.2275943396226415,0.1568396226415094,7,0.6078507539051977
203144,Alexey Shved,2013-14,4.63,4.07,3.75,3.27,0.184645286686103,0.3789473684210526,0.2894736842105263,0.2473684210526315,0.0842105263157894,9,0.37377625438176537
201582,Alexis Ajinca,2013-14,4.53,3.99,1.67,0.37,0.2001325381047051,0.0496688741721854,0.2450331125827814,0.0132450331125827,0.6920529801324503,4,0.9907328034571758
202087,Alonzo Gee,2013-14,4.82,4.31,2.1,1.24,0.1546626231993934,0.2794117647058823,0.3333333333333333,0.0637254901960784,0.3235294117647059,3,0.8668718764377686
2405,Amar'e Stoudemire,2013-14,3.92,3.88,1.99,0.54,0.2168301497160557,0.0952380952380952,0.3952380952380952,0.0238095238095238,0.4857142857142857,4,0.9400756087139501
101161,Amir Johnson,2013-14,4.23,3.98,1.42,0.4,0.1662072767364939,0.0796019900497512,0.2404643449419568,0.0165837479270315,0.6633499170812603,4,0.9886954839067396
2760,Anderson Varejao,2013-14,4.63,4.19,1.68,0.48,0.1292639138240574,0.136574074074074,0.3425925925925926,0.0509259259259259,0.4699074074074074,3,0.8354629086383765
101154,Andray Blatche,2013-14,4.07,3.79,2.03,0.76,0.2153245831855267,0.214168039538715,0.2207578253706754,0.1565074135090609,0.4085667215815486,5,0.9209084120398024
203083,Andre Drummond,2013-14,4.29,3.98,1.4,0.38,0.2929936305732484,0.0217391304347826,0.0043478260869565,0.0043478260869565,0.9695652173913044,2,0.9991036894723416
2738,Andre Iguodala,2013-14,4.54,3.89,3.88,3.17,0.1467625899280575,0.1397058823529411,0.4485294117647059,0.2083333333333333,0.2034313725490196,7,0.4564214608349879
