PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
201985,AJ Price,MIN,28,99.0,5.08,4.78,244,1,0,1,4.37,7.2,4.62,3.96,1,0,6,18,18,0,2013-14
201166,Aaron Brooks,DEN,72,1557.0,5.06,5.32,2859,21,0,50,4.23,109.5,4.49,3.99,52,13,196,206,156,18,2013-14
201189,Aaron Gray,SAC,36,348.0,1.65,0.4,504,59,13,71,4.23,24.5,4.49,3.91,10,8,0,16,0,42,2013-14
203519,Adonis Thomas,PHI,6,38.0,2.08,1.05,38,0,1,0,4.64,2.9,5.21,4.16,0,0,0,3,6,0,2013-14
1733,Al Harrington,WAS,33,497.0,1.47,0.58,823,24,20,41,4.0,32.9,4.19,3.8,13,0,52,104,4,29,2013-14
201143,Al Horford,ATL,29,958.0,1.75,0.49,1826,195,206,222,4.08,64.8,4.43,3.78,27,44,29,190,12,193,2013-14
2744,Al Jefferson,CHA,72,2517.0,2.34,0.59,3575,373,1426,540,3.81,159.5,3.92,3.68,67,78,22,357,104,490,2013-14
202329,Al-Farouq Aminu,NOP,80,2045.0,2.11,1.03,2520,108,37,251,4.43,150.5,4.75,4.1,82,38,87,107,24,191,2013-14
101187,Alan Anderson,BKN,77,1745.0,2.81,1.83,2060,20,19,49,4.04,117.1,4.1,3.99,47,10,130,222,88,27,2013-14
202692,Alec Burks,UTA,78,2193.0,3.39,2.78,4183,114,10,113,4.3,156.5,4.5,4.09,69,14,367,155,193,133,2013-14
203458,Alex Len,PHX,42,362.0,1.49,0.26,495,31,31,90,4.35,26.2,4.62,4.07,4,18,0,4,4,66,2013-14
203144,Alexey Shved,MIN,63,664.0,3.75,3.27,1029,14,0,23,4.35,48.1,4.63,4.07,26,16,72,55,47,16,2013-14
201582,Alexis Ajinca,NOP,56,951.0,1.67,0.37,1509,189,48,228,4.26,67.4,4.53,3.99,23,46,15,74,4,209,2013-14
